shipment_id,order_id,customer_id,origin_warehouse,destination_city,carrier,ship_date,delivery_date,weight_kg,quantity,status,cost_usd,tracking_number,error_flag
SHIP100521,ORD200521,CUST300521,WH_LON,Bristol,DHL,2025-08-21,2025-08-31,132.87,21,Cancelled,380.89,1ZNA4RAMEDHHBHDHSA,
SHIP100737,ORD200737,CUST300737,WH_BRS,Birmingham,DHL,2025-08-15,2025-08-16,148.11,27,In Transit,323.34,1ZQWPNKD7KSVPYAGYW,
SHIP100740,ORD200740,CUST300740,WH_BRS,Manchester,UPS,2025-05-18,2025-05-19,101.86,22,In Transit,382.6,1ZLBXKEU6U8GZ4DPZ9,
SHIP100660,ORD200660,CUST300660,WH_BIR,Birmingham,UPS,2025-02-26,2025-03-05,128.81,10,Pending,73.57,1ZUZPXAY27TPT34U4L,
SHIP100411,ORD200411,CUST300411,WH_BIR,Manchester,DHL,2025-02-11,2025-02-16,160.06,1,Cancelled,30.07,1ZAL1BFN09CAUNR539,
SHIP100678,ORD200678,CUST300678,WH_LON,Manchester,DHL,2025-04-22,2025-04-25,105.16,9,Cancelled,19.3,1Z29E3YM024GHGW1Q9,
SHIP100626,ORD200626,CUST300626,WH_MAN,Bristol,DHL,2025-07-22,2025-07-27,154.52,47,Pending,190.5,1ZKI6ZBZGT2O1O2U8W,
SHIP100513,ORD200513,CUST300513,WH_LIV,London,UPS,2025-04-23,2025-04-27,49.11,2,Cancelled,420.59,1ZEJKEUKMVZQPZS9DW,
SHIP100859,ORD200859,CUST300859,WH_BRS,Birmingham,DHL,2025-02-06,2025-02-07,89.99,50,In Transit,22.96,1ZK5QJ9V96P2OUCB9P,
SHIP100136,ORD200136,CUST300136,WH_LIV,Manchester,RoyalMail,2025-02-26,2025-03-02,102.9,50,Pending,242.31,1Z46S8LXPP9WUG7AIM,
SHIP100811,ORD200811,CUST300811,WH_LIV,Bristol,FedEx,2025-04-18,2025-04-19,79.48,23,Delivered,395.89,1ZYX2UV831NG49A0PH,
SHIP100076,ORD200076,CUST300076,WH_MAN,London,RoyalMail,2025-05-24,2025-05-29,179.2,26,Delivered,477.76,1ZSAAPCF9H7JXP4ML8,
SHIP100636,ORD200636,CUST300636,WH_MAN,Liverpool,RoyalMail,2025-07-29,2025-08-02,81.14,36,Pending,209.83,1ZPZHE4RZ1FQBXQI7O,
SHIP_BAD100023,ORD_BAD200023,CUST_BAD300023,WH_MAN,Manchester,FedEx,2025-02-06,2025-02-10,-5.29,15,Pending,481.56,1ZNGWJ2BAQUFS4AR7M,negative_weight
SHIP100938,ORD200938,CUST300938,WH_LON,Birmingham,UPS,2025-05-20,2025-05-25,148.27,40,Pending,218.1,1ZFCYW2NEJNXW3SA9H,
SHIP100899,ORD200899,CUST300899,WH_LON,Manchester,UPS,2025-04-07,2025-04-09,110.93,36,Pending,178.03,1ZS8N4N1ZSO508WOHY,
SHIP100280,ORD200280,CUST300280,WH_BRS,Liverpool,RoyalMail,2025-01-02,2025-01-11,184.12,16,Cancelled,341.69,1ZV0OOELYU52TNGYL0,
SHIP100883,ORD200883,CUST300883,WH_BRS,Birmingham,DHL,2025-03-06,2025-03-12,16.7,1,Delivered,407.15,1ZX55V7LLX58D0J9GT,
SHIP100761,ORD200761,CUST300761,WH_LIV,Bristol,FedEx,2025-04-08,2025-04-10,113.53,2,In Transit,449.65,1ZV3S7VBECPEBCOG0X,
SHIP100319,ORD200319,CUST300319,WH_LIV,Manchester,DHL,2025-02-15,2025-02-23,72.14,6,Delivered,422.88,1ZINSX32177BATO9PZ,
SHIP100549,ORD200549,CUST300549,WH_MAN,Manchester,DHL,2025-07-14,2025-07-15,176.71,4,In Transit,253.37,1ZX535P3CC2C2E2ESP,
SHIP100174,ORD200174,CUST300174,WH_BRS,Manchester,UPS,2025-08-24,2025-08-26,69.82,18,In Transit,307.12,1Z7XK9E32AYSYVTKOY,
SHIP100371,ORD200371,CUST300371,WH_LON,Manchester,FedEx,2025-02-03,2025-02-07,187.75,39,Pending,398.28,1Z0SJTU35RWTBH8J9J,
SHIP100527,ORD200527,CUST300527,WH_LIV,Manchester,RoyalMail,2025-03-29,2025-04-03,40.53,42,Pending,201.74,1Z5A266NFV28JK5Y2O,
SHIP100210,ORD200210,CUST300210,WH_BRS,Bristol,FedEx,2025-06-22,2025-06-27,193.28,48,Delivered,466.43,1Z3ADD2FJA4P9IIPM3,
SHIP100235,ORD200235,CUST300235,WH_LIV,Liverpool,DHL,2025-06-08,2025-06-09,34.86,4,Delivered,412.16,1Z3MU2T4LM27CUQE4O,
SHIP100101,ORD200101,CUST300101,WH_LIV,Birmingham,RoyalMail,2025-06-11,2025-06-14,6.32,40,In Transit,230.29,1ZF07APSKSJD74OHYB,
SHIP_BAD100036,ORD_BAD200036,CUST_BAD300036,WH_MAN,Bristol,,2025-04-06,2025-04-10,117.82,28,Delivered,225.47,1Z5DD88NRIADN3WPC1,missing_carrier
SHIP100902,ORD200902,CUST300902,WH_LIV,Bristol,DHL,2025-04-05,2025-04-06,129.57,28,Delivered,420.34,1ZML07145S81D0957X,
SHIP100947,ORD200947,CUST300947,WH_BRS,Liverpool,FedEx,2025-08-10,2025-08-17,184.94,47,Pending,192.42,1Z9P7E176IVZOCPOW4,
SHIP100346,ORD200346,CUST300346,WH_BIR,Manchester,RoyalMail,2025-06-11,2025-06-15,12.23,22,In Transit,415.66,1Z7QTP1V6HEZNUZJCO,
SHIP100139,ORD200139,CUST300139,WH_BRS,Liverpool,UPS,2025-02-02,2025-02-07,131.06,15,Delivered,119.43,1ZVFVDLG41MKMG74OJ,
SHIP100621,ORD200621,CUST300621,WH_LON,Liverpool,FedEx,2025-05-06,2025-05-15,164.96,19,Pending,163.92,1ZGIG11NVDM3Q95D4E,
SHIP100499,ORD200499,CUST300499,WH_MAN,Bristol,DHL,2025-06-18,2025-06-27,95.82,48,In Transit,71.66,1ZIS5NQPAM89QAPGLI,
SHIP100370,ORD200370,CUST300370,WH_MAN,London,UPS,2025-07-06,2025-07-09,33.0,12,Cancelled,346.81,1Z65FGNEQ4R03D30TX,
SHIP100198,ORD200198,CUST300198,WH_BIR,Manchester,UPS,2025-01-29,2025-02-05,38.5,23,Pending,387.14,1Z6CTSMFX8O5Q3Q8M5,
SHIP100687,ORD200687,CUST300687,WH_LIV,Bristol,DHL,2025-05-17,2025-05-26,176.13,9,Delivered,203.64,1Z5ZIL20T32Z4WZ8NZ,
SHIP100584,ORD200584,CUST300584,WH_MAN,London,RoyalMail,2025-06-11,2025-06-20,80.98,40,Cancelled,179.99,1ZBDSLVRFINJQIZ5TB,
SHIP100901,ORD200901,CUST300901,WH_BIR,London,UPS,2025-06-29,2025-07-09,46.8,1,In Transit,377.03,1Z2J0DTW0WI1X18E8T,
SHIP100059,ORD200059,CUST300059,WH_LIV,London,UPS,2025-07-22,2025-07-25,183.52,31,In Transit,381.83,1ZGMW075XLFR848NM2,
SHIP100328,ORD200328,CUST300328,WH_BIR,Manchester,RoyalMail,2025-06-19,2025-06-21,10.96,1,Pending,388.48,1ZRXD83FZC6O7VST66,
SHIP100096,ORD200096,CUST300096,WH_BIR,Bristol,FedEx,2025-08-30,2025-09-03,91.84,9,Delivered,13.32,1ZEUDVFFTNLALPH6EB,
SHIP100312,ORD200312,CUST300312,WH_MAN,Birmingham,RoyalMail,2025-05-11,2025-05-16,145.06,29,In Transit,129.14,1ZS2BFYRBVR5BCD0LO,
SHIP_BAD100024,ORD_BAD200024,CUST_BAD300024,WH_BIR,Birmingham,RoyalMail,2025-08-24,2025-08-26,142.44,22,Pending,178.85,1Z4HJX0MHFC47HJL24TIAIEW3A5,bad_tracking
SHIP100299,ORD200299,CUST300299,WH_BRS,Birmingham,RoyalMail,2025-07-15,2025-07-18,133.61,10,Delivered,53.76,1ZMMDWC1OF9350MRBN,
SHIP100277,ORD200277,CUST300277,WH_LON,Manchester,FedEx,2025-05-23,2025-05-24,94.45,23,Pending,12.63,1ZIDZO4W166HCG3PF9,
SHIP100924,ORD200924,CUST300924,WH_LIV,Birmingham,DHL,2025-05-21,2025-05-22,34.13,40,Delivered,142.43,1ZNT183WLRBAU06B13,
SHIP100601,ORD200601,CUST300601,WH_LON,Birmingham,FedEx,2025-08-19,2025-08-20,1.24,23,Pending,493.95,1ZXNEUYV3ULK44HZQC,
SHIP100439,ORD200439,CUST300439,WH_BIR,Manchester,FedEx,2025-03-15,2025-03-21,190.73,3,In Transit,220.96,1ZAVBC5AH86X9L38A3,
SHIP100837,ORD200837,CUST300837,WH_BIR,Manchester,FedEx,2025-01-20,2025-01-24,67.87,11,Pending,21.09,1ZXKOUI04GRPGY30O3,
SHIP100570,ORD200570,CUST300570,WH_BRS,Bristol,FedEx,2025-06-24,2025-07-04,94.13,6,Cancelled,487.86,1ZJM2MXVL8XB86Z6CO,
SHIP100879,ORD200879,CUST300879,WH_BIR,Bristol,DHL,2025-06-23,2025-06-25,83.15,33,Pending,199.32,1ZDNNOCNKRW1DUVKQ5,
SHIP100261,ORD200261,CUST300261,WH_BIR,Manchester,RoyalMail,2025-06-01,2025-06-06,133.5,26,Cancelled,260.59,1Z5G4H8X1QTH06LBAM,
SHIP100578,ORD200578,CUST300578,WH_MAN,London,FedEx,2025-01-10,2025-01-17,18.45,11,Pending,311.57,1ZJ9I955FV6E52VMKS,
SHIP100023,ORD200023,CUST300023,WH_LIV,Bristol,DHL,2025-07-16,2025-07-22,155.67,11,Delivered,62.97,1Z0BOYEP2OM3RUL4ZS,
SHIP100030,ORD200030,CUST300030,WH_LIV,Manchester,FedEx,2025-05-20,2025-05-24,14.75,11,Delivered,301.57,1ZTXFGAE9JFLWQL08O,
SHIP100617,ORD200617,CUST300617,WH_MAN,Manchester,UPS,2025-07-23,2025-07-31,121.45,47,Pending,106.17,1ZARG3KS41QJUKENPT,
SHIP100010,ORD200010,CUST300010,WH_LON,Bristol,DHL,2025-01-21,2025-01-24,135.2,16,Cancelled,68.74,1ZW8LMFLIX7P8EOABR,
SHIP100221,ORD200221,CUST300221,WH_BRS,London,FedEx,2025-02-25,2025-02-28,132.35,29,Delivered,201.09,1ZK7OBKWAXFZC30ZE4,
SHIP100820,ORD200820,CUST300820,WH_LIV,Birmingham,FedEx,2025-07-08,2025-07-17,166.8,21,In Transit,146.52,1Z9FGYI4KJBF5U6Z7Q,
SHIP100296,ORD200296,CUST300296,WH_LON,Manchester,FedEx,2025-05-14,2025-05-18,164.66,24,Cancelled,58.01,1ZPT22VHGDILIE9HFF,
SHIP100054,ORD200054,CUST300054,WH_MAN,London,FedEx,2025-04-26,2025-04-28,8.31,46,Cancelled,495.58,1ZILDXDRO1MCBKD9UY,
SHIP100542,ORD200542,CUST300542,WH_MAN,Birmingham,RoyalMail,2025-02-13,2025-02-14,176.05,21,Cancelled,237.18,1ZWG5RF05BZME0SN6L,
SHIP100209,ORD200209,CUST300209,WH_BIR,Birmingham,RoyalMail,2025-02-25,2025-03-07,88.65,39,Pending,129.91,1ZJMKT15N1UOUAX1F6,
SHIP100604,ORD200604,CUST300604,WH_MAN,Bristol,UPS,2025-06-26,2025-07-05,20.54,26,Pending,162.83,1ZV3BQ43Y0W1TE35XW,
SHIP100692,ORD200692,CUST300692,WH_BIR,Liverpool,RoyalMail,2025-05-18,2025-05-27,63.22,27,In Transit,59.0,1ZKBLD00NKTAY91XZO,
SHIP100662,ORD200662,CUST300662,WH_MAN,Birmingham,FedEx,2025-04-03,2025-04-12,76.09,37,Pending,169.46,1ZMIROGWJQEJ6F4G2O,
SHIP100866,ORD200866,CUST300866,WH_MAN,Birmingham,DHL,2025-03-24,2025-03-31,184.73,48,Cancelled,417.17,1Z1ZVE7IX0K8693TNU,
